date,region,category,inventory_units,stockout_rate
2026-07-10,North India,Accessories,13210,0.054
2026-07-10,North India,Footwear,15158,0.029
2026-07-10,South India,Apparel,17457,0.047
2026-07-10,South India,Accessories,13955,0.023
2026-07-10,South India,Footwear,15353,0.011
2026-07-11,West India,Apparel,17958,0.036
2026-07-11,West India,Accessories,15106,0.019
2026-07-11,West India,Footwear,14971,0.021
2026-07-11,North India,Apparel,15555,0.029
2026-07-11,North India,Accessories,11620,0.017
2026-07-11,North India,Footwear,13741,0.011
2026-07-11,South India,Apparel,18421,0.055
2026-07-11,South India,Accessories,14218,0.029
2026-07-11,South India,Footwear,17548,0.038
2026-07-12,West India,Apparel,20201,0.022
2026-07-12,West India,Accessories,15065,0.025
2026-07-12,West India,Footwear,16396,0.026
2026-07-12,North India,Apparel,16538,0.056
2026-07-12,North India,Accessories,11047,0.033
2026-07-12,North India,Footwear,14753,0.034
2026-07-12,South India,Apparel,16237,0.011
2026-07-12,South India,Accessories,12627,0.059
2026-07-12,South India,Footwear,15798,0.043
2026-07-13,West India,Apparel,17712,0.027
2026-07-13,West India,Accessories,14502,0.039
2026-07-13,West India,Footwear,14868,0.051
2026-07-13,North India,Apparel,17613,0.031
2026-07-13,North India,Accessories,12727,0.058
2026-07-13,North India,Footwear,15268,0.018
2026-07-13,South India,Apparel,16497,0.043
2026-07-13,South India,Accessories,11221,0.022
2026-07-13,South India,Footwear,15848,0.024
2026-07-14,West India,Apparel,17802,0.012
2026-07-14,West India,Accessories,12608,0.043
2026-07-14,West India,Footwear,14727,0.022
2026-07-14,North India,Apparel,17655,0.059
2026-07-14,North India,Accessories,11601,0.042
2026-07-14,North India,Footwear,14288,0.022
2026-07-14,South India,Apparel,19644,0.024
2026-07-14,South India,Accessories,14116,0.016
2026-07-14,South India,Footwear,16184,0.037
2026-07-15,West India,Apparel,17591,0.053
2026-07-15,West India,Accessories,12523,0.015
2026-07-15,West India,Footwear,16436,0.028
2026-07-15,North India,Apparel,15080,0.035
2026-07-15,North India,Accessories,11973,0.049
2026-07-15,North India,Footwear,14928,0.033
2026-07-15,South India,Apparel,15620,0.033
2026-07-15,South India,Accessories,13547,0.03
2026-07-15,South India,Footwear,14460,0.019
2026-07-16,West India,Apparel,17881,0.026
2026-07-16,West India,Accessories,13785,0.036
2026-07-16,West India,Footwear,16128,0.016
2026-07-16,North India,Apparel,18385,0.025
2026-07-16,North India,Accessories,13988,0.025
2026-07-16,North India,Footwear,14654,0.022
2026-07-16,South India,Apparel,18680,0.031
2026-07-16,South India,Accessories,13999,0.053
2026-07-16,South India,Footwear,16715,0.038
2026-07-17,West India,Apparel,15952,0.044
2026-07-17,West India,Accessories,13243,0.038
2026-07-17,West India,Footwear,16421,0.026
2026-07-17,North India,Apparel,16250,0.034
2026-07-17,North India,Accessories,13143,0.015
2026-07-17,North India,Footwear,15478,0.053
2026-07-17,South India,Apparel,17245,0.028
2026-07-17,South India,Accessories,14522,0.011
2026-07-17,South India,Footwear,16301,0.035
2026-07-18,West India,Apparel,16614,0.024
2026-07-18,West India,Accessories,11913,0.023
2026-07-18,West India,Footwear,14877,0.024
2026-07-18,North India,Apparel,15077,0.044
2026-07-18,North India,Accessories,13220,0.044
2026-07-18,North India,Footwear,14858,0.047
2026-07-18,South India,Apparel,16664,0.046
2026-07-18,South India,Accessories,14041,0.045
2026-07-18,South India,Footwear,18322,0.022
2026-07-19,West India,Apparel,17614,0.051
2026-07-19,West India,Accessories,14644,0.043
2026-07-19,West India,Footwear,16130,0.012
2026-07-19,North India,Apparel,15685,0.039
2026-07-19,North India,Accessories,13768,0.054
2026-07-19,North India,Footwear,14475,0.028
2026-07-19,South India,Apparel,15888,0.02
2026-07-19,South India,Accessories,12783,0.014
2026-07-19,South India,Footwear,16385,0.014
2026-07-20,West India,Apparel,18738,0.05
2026-07-20,West India,Accessories,13804,0.059
2026-07-20,West India,Footwear,16704,0.048
2026-07-20,North India,Apparel,16444,0.056
2026-07-20,North India,Accessories,13442,0.054
2026-07-20,North India,Footwear,14088,0.035
2026-07-20,South India,Apparel,15571,0.02
2026-07-20,South India,Accessories,13251,0.059
2026-07-20,South India,Footwear,14194,0.019
2026-07-21,West India,Apparel,16603,0.03
2026-07-21,West India,Accessories,12818,0.056
2026-07-21,West India,Footwear,13410,0.043
2026-07-21,North India,Apparel,15839,0.026
2026-07-21,North India,Accessories,14346,0.021
2026-07-21,North India,Footwear,15796,0.059
2026-07-21,South India,Apparel,19178,0.025
2026-07-21,South India,Accessories,12503,0.033
2026-07-21,South India,Footwear,16041,0.024
2026-07-22,West India,Apparel,17756,0.037
2026-07-22,West India,Accessories,13537,0.036
2026-07-22,West India,Footwear,17437,0.057
2026-07-22,North India,Apparel,16289,0.055
2026-07-22,North India,Accessories,11363,0.041
2026-07-22,North India,Footwear,15782,0.027
2026-07-22,South India,Apparel,17432,0.023
2026-07-22,South India,Accessories,13681,0.032
2026-07-22,South India,Footwear,13846,0.024
2026-07-23,West India,Apparel,18271,0.013
2026-07-23,West India,Accessories,16049,0.044
2026-07-23,West India,Footwear,16576,0.021
2026-07-23,North India,Apparel,14521,0.01
2026-07-23,North India,Accessories,13586,0.012
2026-07-23,North India,Footwear,15207,0.06
2026-07-23,South India,Apparel,17939,0.021
2026-07-23,South India,Accessories,13896,0.033
2026-07-23,South India,Footwear,14116,0.05
2026-07-24,West India,Apparel,18030,0.016
2026-07-24,West India,Accessories,14050,0.054
2026-07-24,West India,Footwear,16377,0.015
2026-07-24,North India,Apparel,17813,0.018
2026-07-24,North India,Accessories,12472,0.056
2026-07-24,North India,Footwear,16965,0.014
2026-07-24,South India,Apparel,17489,0.03
2026-07-24,South India,Accessories,14461,0.027
2026-07-24,South India,Footwear,16088,0.025
2026-07-25,West India,Apparel,18458,0.024
2026-07-25,West India,Accessories,14977,0.017
2026-07-25,West India,Footwear,12217,0.017
2026-07-25,North India,Apparel,17347,0.054
2026-07-25,North India,Accessories,12251,0.012
2026-07-25,North India,Footwear,14728,0.047
2026-07-25,South India,Apparel,17423,0.033
2026-07-25,South India,Accessories,14736,0.046
2026-07-25,South India,Footwear,14200,0.022
2026-07-26,West India,Apparel,17312,0.053
2026-07-26,West India,Accessories,13993,0.043
2026-07-26,West India,Footwear,16392,0.034
2026-07-26,North India,Apparel,16110,0.049
2026-07-26,North India,Accessories,13734,0.032
2026-07-26,North India,Footwear,12822,0.029
2026-07-26,South India,Apparel,16755,0.025
2026-07-26,South India,Accessories,15281,0.031
2026-07-26,South India,Footwear,14941,0.027
2026-07-27,West India,Apparel,18523,0.022
2026-07-27,West India,Accessories,15400,0.055
2026-07-27,West India,Footwear,16628,0.02
2026-07-27,North India,Apparel,18995,0.04
2026-07-27,North India,Accessories,13246,0.017
2026-07-27,North India,Footwear,15512,0.037
2026-07-27,South India,Apparel,17257,0.041
2026-07-27,South India,Accessories,15011,0.027
2026-07-27,South India,Footwear,14771,0.023
2026-07-28,West India,Apparel,20867,0.031
2026-07-28,West India,Accessories,13632,0.056
2026-07-28,West India,Footwear,18349,0.022
2026-07-28,North India,Apparel,15176,0.047
2026-07-28,North India,Accessories,13823,0.012
2026-07-28,North India,Footwear,14800,0.042
2026-07-28,South India,Apparel,18150,0.021
2026-07-28,South India,Accessories,14022,0.024
2026-07-28,South India,Footwear,16263,0.012
2026-07-29,West India,Apparel,16511,0.041
2026-07-29,West India,Accessories,12596,0.016
2026-07-29,West India,Footwear,14673,0.036
2026-07-29,North India,Apparel,14916,0.034
2026-07-29,North India,Accessories,12097,0.037
2026-07-29,North India,Footwear,14130,0.059
2026-07-29,South India,Apparel,16165,0.057
2026-07-29,South India,Accessories,13579,0.035
2026-07-29,South India,Footwear,14277,0.035
2026-07-30,West India,Apparel,16898,0.024
2026-07-30,West India,Accessories,14127,0.038
2026-07-30,West India,Footwear,17485,0.045
2026-07-30,North India,Apparel,15908,0.03
2026-07-30,North India,Accessories,13111,0.032
2026-07-30,North India,Footwear,14933,0.014
2026-07-30,South India,Apparel,15714,0.014
2026-07-30,South India,Accessories,13209,0.043
2026-07-30,South India,Footwear,14449,0.06
2026-07-31,West India,Apparel,19275,0.039
2026-07-31,West India,Accessories,15316,0.053
2026-07-31,West India,Footwear,15180,0.047
2026-07-31,North India,Apparel,16364,0.044
2026-07-31,North India,Accessories,13789,0.011
2026-07-31,North India,Footwear,15177,0.058
2026-07-31,South India,Apparel,17519,0.019
2026-07-31,South India,Accessories,12577,0.034
2026-07-31,South India,Footwear,17275,0.048
2026-08-01,West India,Apparel,17102,0.02
2026-08-01,West India,Accessories,13652,0.033
2026-08-01,West India,Footwear,14537,0.046
2026-08-01,North India,Apparel,16242,0.04
2026-08-01,North India,Accessories,14369,0.039
2026-08-01,North India,Footwear,15165,0.044
2026-08-01,South India,Apparel,16835,0.057
2026-08-01,South India,Accessories,14379,0.011
2026-08-01,South India,Footwear,16620,0.035
2026-08-02,West India,Apparel,19141,0.038
2026-08-02,West India,Accessories,12311,0.024
2026-08-02,West India,Footwear,17140,0.045
2026-08-02,North India,Apparel,17057,0.03
2026-08-02,North India,Accessories,12348,0.031
2026-08-02,North India,Footwear,15356,0.055
2026-08-02,South India,Apparel,18508,0.025
2026-08-02,South India,Accessories,12965,0.047
2026-08-02,South India,Footwear,16363,0.051
2026-08-03,West India,Apparel,18413,0.011
2026-08-03,West India,Accessories,11237,0.018
2026-08-03,West India,Footwear,16134,0.031
2026-08-03,North India,Apparel,16826,0.031
2026-08-03,North India,Accessories,12860,0.025
2026-08-03,North India,Footwear,15235,0.043
2026-08-03,South India,Apparel,16787,0.049
2026-08-03,South India,Accessories,16039,0.047
2026-08-03,South India,Footwear,14824,0.016
2026-08-04,West India,Apparel,16875,0.057
2026-08-04,West India,Accessories,15336,0.042
2026-08-04,West India,Footwear,15849,0.024
2026-08-04,North India,Apparel,16361,0.054
2026-08-04,North India,Accessories,13001,0.049
2026-08-04,North India,Footwear,15744,0.016
2026-08-04,South India,Apparel,15571,0.022
2026-08-04,South India,Accessories,14542,0.042
2026-08-04,South India,Footwear,15918,0.022
2026-08-05,West India,Apparel,20570,0.039
2026-08-05,West India,Accessories,14593,0.038
2026-08-05,West India,Footwear,14920,0.044
2026-08-05,North India,Apparel,16736,0.028
2026-08-05,North India,Accessories,13517,0.04
2026-08-05,North India,Footwear,16282,0.027
2026-08-05,South India,Apparel,15654,0.052
2026-08-05,South India,Accessories,11970,0.045
2026-08-05,South India,Footwear,15544,0.06
2026-08-06,West India,Apparel,20647,0.024
2026-08-06,West India,Accessories,15153,0.023
2026-08-06,West India,Footwear,17126,0.034
2026-08-06,North India,Apparel,14776,0.035
2026-08-06,North India,Accessories,13233,0.05
2026-08-06,North India,Footwear,16308,0.024
2026-08-06,South India,Apparel,17425,0.054
2026-08-06,South India,Accessories,11906,0.039
2026-08-06,South India,Footwear,15314,0.016
2026-08-07,West India,Apparel,18834,0.021
2026-08-07,West India,Accessories,10816,0.033
2026-08-07,West India,Footwear,16075,0.057
2026-08-07,North India,Apparel,15337,0.051
2026-08-07,North India,Accessories,14093,0.056
2026-08-07,North India,Footwear,14343,0.029
2026-08-07,South India,Apparel,17555,0.024
2026-08-07,South India,Accessories,13584,0.034
2026-08-07,South India,Footwear,14734,0.021
2026-08-08,West India,Apparel,20846,0.046
2026-08-08,West India,Accessories,13745,0.048
2026-08-08,West India,Footwear,16287,0.049
2026-08-08,North India,Apparel,16476,0.042
2026-08-08,North India,Accessories,13384,0.028
2026-08-08,North India,Footwear,17084,0.042
2026-08-08,South India,Apparel,17789,0.053
2026-08-08,South India,Accessories,13087,0.04
2026-08-08,South India,Footwear,17098,0.037
2026-08-09,West India,Apparel,19091,0.04
2026-08-09,West India,Accessories,13878,0.043
2026-08-09,West India,Footwear,17863,0.021
2026-08-09,North India,Apparel,14763,0.022
2026-08-09,North India,Accessories,12051,0.021
2026-08-09,North India,Footwear,12931,0.053
2026-08-09,South India,Apparel,14259,0.028
2026-08-09,South India,Accessories,14906,0.018
2026-08-09,South India,Footwear,15529,0.034
2026-08-10,West India,Apparel,15788,0.022
2026-08-10,West India,Accessories,14350,0.029
2026-08-10,West India,Footwear,17369,0.012
2026-08-10,North India,Apparel,15526,0.041
2026-08-10,North India,Accessories,12860,0.026
2026-08-10,North India,Footwear,17270,0.039
2026-08-10,South India,Apparel,16680,0.033
2026-08-10,South India,Accessories,12005,0.051
2026-08-10,South India,Footwear,14652,0.056
2026-08-11,West India,Apparel,15701,0.026
2026-08-11,West India,Accessories,15167,0.025
2026-08-11,West India,Footwear,15071,0.042
2026-08-11,North India,Apparel,15312,0.056
2026-08-11,North India,Accessories,15474,0.01
2026-08-11,North India,Footwear,13439,0.045
2026-08-11,South India,Apparel,15161,0.04
2026-08-11,South India,Accessories,12467,0.018
2026-08-11,South India,Footwear,16446,0.028
2026-08-12,West India,Apparel,18753,0.021
2026-08-12,West India,Accessories,13776,0.048
2026-08-12,West India,Footwear,15385,0.012
2026-08-12,North India,Apparel,17082,0.049
2026-08-12,North India,Accessories,13438,0.045
2026-08-12,North India,Footwear,14645,0.022
2026-08-12,South India,Apparel,17760,0.02
2026-08-12,South India,Accessories,12400,0.02
2026-08-12,South India,Footwear,14253,0.035
2026-08-13,West India,Apparel,18885,0.04
2026-08-13,West India,Accessories,14755,0.056
2026-08-13,West India,Footwear,13501,0.054
2026-08-13,North India,Apparel,16534,0.042
2026-08-13,North India,Accessories,15424,0.032
2026-08-13,North India,Footwear,15782,0.04
2026-08-13,South India,Apparel,16302,0.01
2026-08-13,South India,Accessories,12756,0.012
2026-08-13,South India,Footwear,15736,0.041
2026-08-14,West India,Apparel,19723,0.055
2026-08-14,West India,Accessories,12408,0.054
2026-08-14,West India,Footwear,16564,0.022
2026-08-14,North India,Apparel,16054,0.026
2026-08-14,North India,Accessories,13397,0.022
2026-08-14,North India,Footwear,13168,0.021
2026-08-14,South India,Apparel,18626,0.018
2026-08-14,South India,Accessories,15227,0.021
2026-08-14,South India,Footwear,16136,0.038
2026-08-15,West India,Apparel,20493,0.051
2026-08-15,West India,Accessories,13955,0.037
2026-08-15,West India,Footwear,16532,0.04
2026-08-15,North India,Apparel,17423,0.018
2026-08-15,North India,Accessories,13591,0.025
2026-08-15,North India,Footwear,14535,0.056
2026-08-15,South India,Apparel,16780,0.041
2026-08-15,South India,Accessories,15106,0.024
2026-08-15,South India,Footwear,15269,0.025
2026-08-16,West India,Apparel,19627,0.033
2026-08-16,West India,Accessories,14310,0.059
2026-08-16,West India,Footwear,17655,0.034
2026-08-16,North India,Apparel,16605,0.027
2026-08-16,North India,Accessories,13842,0.019
2026-08-16,North India,Footwear,14061,0.031
2026-08-16,South India,Apparel,17346,0.057
2026-08-16,South India,Accessories,12893,0.049
2026-08-16,South India,Footwear,14798,0.057
2026-08-17,West India,Apparel,14367,0.151
2026-08-17,West India,Accessories,11639,0.147
2026-08-17,West India,Footwear,14335,0.18
2026-08-17,North India,Apparel,15910,0.044
2026-08-17,North India,Accessories,13356,0.051
2026-08-17,North India,Footwear,16188,0.038
2026-08-17,South India,Apparel,17797,0.011
2026-08-17,South India,Accessories,11737,0.051
2026-08-17,South India,Footwear,13538,0.018
2026-08-18,West India,Apparel,15220,0.155
2026-08-18,West India,Accessories,11340,0.139
2026-08-18,West India,Footwear,11625,0.168
2026-08-18,North India,Apparel,15755,0.016
2026-08-18,North India,Accessories,13652,0.04
2026-08-18,North India,Footwear,14442,0.013
2026-08-18,South India,Apparel,17067,0.041
2026-08-18,South India,Accessories,13319,0.032
2026-08-18,South India,Footwear,14447,0.038
2026-08-19,West India,Apparel,15037,0.152
2026-08-19,West India,Accessories,10247,0.176
2026-08-19,West India,Footwear,12417,0.145
2026-08-19,North India,Apparel,17530,0.021
2026-08-19,North India,Accessories,11709,0.054
2026-08-19,North India,Footwear,14849,0.013
2026-08-19,South India,Apparel,16429,0.021
2026-08-19,South India,Accessories,13044,0.041
2026-08-19,South India,Footwear,16381,0.026
2026-08-20,West India,Apparel,16051,0.147
2026-08-20,West India,Accessories,10822,0.175
2026-08-20,West India,Footwear,10495,0.175
2026-08-20,North India,Apparel,16275,0.043
2026-08-20,North India,Accessories,11208,0.034
2026-08-20,North India,Footwear,15824,0.013
2026-08-20,South India,Apparel,16928,0.026
2026-08-20,South India,Accessories,11999,0.033
2026-08-20,South India,Footwear,14356,0.06
2026-08-21,West India,Apparel,13432,0.136
2026-08-21,West India,Accessories,11029,0.162
2026-08-21,West India,Footwear,11362,0.148
2026-08-21,North India,Apparel,18311,0.016
2026-08-21,North India,Accessories,12134,0.046
2026-08-21,North India,Footwear,14846,0.052
2026-08-21,South India,Apparel,17570,0.019
2026-08-21,South India,Accessories,14791,0.02
2026-08-21,South India,Footwear,15338,0.035
2026-08-22,West India,Apparel,14437,0.163
2026-08-22,West India,Accessories,11876,0.13
2026-08-22,West India,Footwear,12169,0.133
2026-08-22,North India,Apparel,15211,0.011
2026-08-22,North India,Accessories,12888,0.055
2026-08-22,North India,Footwear,12332,0.04
2026-08-22,South India,Apparel,16079,0.016
2026-08-22,South India,Accessories,13079,0.054
2026-08-22,South India,Footwear,17642,0.032
2026-08-23,West India,Apparel,16222,0.168
2026-08-23,West India,Accessories,12200,0.143
2026-08-23,West India,Footwear,14185,0.139
2026-08-23,North India,Apparel,15201,0.019
2026-08-23,North India,Accessories,13305,0.013
2026-08-23,North India,Footwear,15693,0.014
2026-08-23,South India,Apparel,15672,0.033
2026-08-23,South India,Accessories,12037,0.058
2026-08-23,South India,Footwear,15672,0.03
